draw,roc_auc__isds_v1,average_precision__isds_v1,roc_auc__isds_energy_component,average_precision__isds_energy_component,roc_auc__isds_context_component,average_precision__isds_context_component,auc_diff_isds_minus_energy,auc_diff_isds_minus_context
98,0.9105263157894737,0.7460535964630871,0.7912280701754386,0.6410609637395137,0.8973684210526316,0.7617934389963856,0.11929824561403513,0.013157894736842146
99,0.8223684210526315,0.3810705532212885,0.756578947368421,0.30324151843598435,0.7598684210526315,0.42723395026026606,0.06578947368421051,0.0625
100,0.9217638691322901,0.7388974154968374,0.7951635846372689,0.6184489794132595,0.8627311522048364,0.7460035089907017,0.12660028449502125,0.05903271692745371
101,0.9254545454545454,0.8619602293833267,0.8309090909090909,0.8056249253738956,0.899090909090909,0.9037355446142229,0.09454545454545449,0.026363636363636367
102,0.9984051036682615,0.9973684210526316,0.9090909090909091,0.9046476485330974,0.9298245614035088,0.898179282478331,0.08931419457735246,0.06858054226475274
103,0.9290540540540541,0.7219539855569268,0.75,0.5677274165722758,0.8986486486486487,0.6950767616886038,0.17905405405405406,0.030405405405405372
104,0.9895833333333334,0.9844887958650627,0.8705357142857143,0.8872358256259185,0.8802083333333334,0.7634748700663487,0.11904761904761907,0.109375
105,0.8979933110367893,0.839387067591807,0.8327759197324415,0.7985691947321452,0.8561872909698997,0.8874051416872614,0.06521739130434778,0.041806020066889604
106,0.9591836734693877,0.8133237793952081,0.9510204081632653,0.7968466892339071,0.9102040816326531,0.7039641575355862,0.008163265306122436,0.048979591836734615
107,0.9455128205128205,0.9124865330747683,0.9423076923076923,0.9259787221325683,0.8493589743589743,0.6649069884364002,0.0032051282051281937,0.09615384615384615
108,0.9254901960784314,0.716561555632763,0.8176470588235294,0.5928709734824286,0.9127450980392157,0.8660588284501327,0.10784313725490202,0.012745098039215752
109,0.8882758620689655,0.7662652056048469,0.7751724137931034,0.6917809352922025,0.86,0.7992570167362737,0.11310344827586205,0.028275862068965485
110,0.9417989417989417,0.84772938226763,0.8606701940035273,0.7843636990695815,0.9126984126984127,0.8485691457092386,0.08112874779541446,0.02910052910052907
111,0.8946078431372549,0.6276636003029191,0.8284313725490197,0.520143939880782,0.8517156862745098,0.6797065897065897,0.06617647058823528,0.04289215686274517
112,0.892,0.8049658421039915,0.8413333333333334,0.7655178001190259,0.8493333333333334,0.7254790888672601,0.05066666666666664,0.04266666666666663
113,0.9956896551724138,0.9930555555555556,0.9051724137931034,0.8966987873237874,0.9170258620689655,0.7751285887315298,0.09051724137931039,0.07866379310344829
114,0.9466666666666667,0.8063759497583027,0.8555555555555555,0.6991314223762042,0.9033333333333333,0.7654477004477004,0.09111111111111114,0.043333333333333335
115,0.9500805152979066,0.9453367485976181,0.927536231884058,0.9354435735069503,0.8663446054750402,0.8109211909704075,0.02254428341384862,0.08373590982286638
116,0.9212121212121213,0.7137293116240485,0.8464646464646465,0.614588230826621,0.8787878787878788,0.778716235455366,0.07474747474747478,0.042424242424242475
117,0.9324324324324325,0.6501037851037851,0.8189189189189189,0.471798435482646,0.8918918918918919,0.7688003663003663,0.11351351351351358,0.04054054054054057
118,0.9743589743589743,0.9607015013232763,0.9038461538461539,0.8993429196505822,0.9230769230769231,0.8733687300353967,0.07051282051282048,0.05128205128205121
119,0.9059561128526645,0.6574821939795202,0.8746081504702194,0.5990340764404934,0.877742946708464,0.7263621405332635,0.03134796238244508,0.028213166144200552
120,0.9685185185185186,0.8343402893402894,0.8333333333333334,0.6797027336733219,0.8814814814814815,0.7201139731727968,0.13518518518518519,0.08703703703703702
121,0.9015873015873016,0.4654561824729892,0.7746031746031746,0.30806668821374705,0.8126984126984127,0.36643374741200824,0.12698412698412698,0.0888888888888889
122,0.9432234432234432,0.9347682637728405,0.9010989010989011,0.9112589708536095,0.8663003663003663,0.7823539182234834,0.042124542124542086,0.07692307692307687
123,0.9391534391534392,0.7947220554888622,0.873015873015873,0.7166005602556835,0.9232804232804233,0.8172939293280909,0.06613756613756616,0.015873015873015928
124,0.9944444444444445,0.9924874686716791,0.9166666666666666,0.933785332314744,0.8564814814814815,0.7998579287795818,0.07777777777777783,0.13796296296296295
125,0.987460815047022,0.970862470862471,0.9184952978056427,0.8533184996821361,0.9090909090909091,0.7176881597934229,0.06896551724137934,0.07836990595611293
126,0.8956521739130435,0.7556895125495265,0.7594202898550725,0.656723557924688,0.9028985507246376,0.8550398457140888,0.13623188405797104,-0.007246376811594124
127,0.892,0.750895969654551,0.79,0.6808865640515256,0.92,0.8089999011116173,0.10199999999999998,-0.028000000000000025
128,0.9862068965517241,0.9837038369038369,0.8951724137931034,0.911639348979752,0.9144827586206896,0.9144810087464077,0.0910344827586207,0.07172413793103449
129,0.9175627240143369,0.7435195370073326,0.7956989247311828,0.6433068846328053,0.9014336917562724,0.8467649021197615,0.12186379928315416,0.016129032258064502
130,0.8787878787878788,0.5672467609633385,0.7382920110192838,0.43664357775320345,0.8512396694214877,0.4474990101995449,0.14049586776859502,0.02754820936639113
131,0.9826839826839827,0.9822331567673184,0.935064935064935,0.9474138031901609,0.9090909090909091,0.9162588599268741,0.04761904761904767,0.07359307359307365
132,0.9486607142857143,0.8240938074868029,0.8727678571428571,0.7229773153510577,0.8950892857142857,0.7572635795004217,0.0758928571428572,0.0535714285714286
133,0.948,0.8544192950246086,0.858,0.7824468659994975,0.916,0.8692153511628797,0.08999999999999997,0.03199999999999992
134,0.942652329749104,0.8210395679693926,0.8709677419354839,0.73454681389464,0.9345878136200717,0.9431080493580494,0.07168458781362008,0.008064516129032251
135,0.9859943977591037,0.9814720986433789,0.9747899159663865,0.9796380090497737,0.9061624649859944,0.9041046861635097,0.011204481792717158,0.0798319327731093
136,0.934640522875817,0.8110437946783785,0.8235294117647058,0.6939050631979972,0.8943355119825708,0.8902336811592867,0.11111111111111116,0.04030501089324623
137,0.9411764705882353,0.8256177011640498,0.8868778280542986,0.7617480432639843,0.9355203619909502,0.8063592609458571,0.05429864253393668,0.005656108597285048
138,0.9617117117117117,0.7943465711848066,0.8986486486486487,0.6835061928811929,0.9009009009009009,0.6840831561226297,0.06306306306306297,0.060810810810810745
